,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,1.9980213627889547,0.36699786412790225,1.8311801086564732,0.18905995802375244,1.526000840880214,0.21859937736825885
Creatinine,0.1166388297338954,0.01390839192738796,0.12545007736624278,0.002396844392621118,0.12511790936811742,0.006378306183740942
Sodium,11.396481636559832,1.7263856472935104,12.156080716335621,0.12316809112925593,7.028035362977413,1.1908507134415127
Phosphate,0.5977056283038712,0.10164437175583893,0.6579453412847814,0.017951158595504946,0.540119171827515,0.06396956773438252
Glucose,10.242722968647142,1.6831815245237223,12.571651006697925,0.8192245321166142,13.495708843052817,1.8854500116760256
Potassium,0.7524638613830356,0.04573947308740283,0.8771460261792666,0.07203606419427071,1.0063180627495552,0.09548938269092143
