,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,18.114463678918785,14.19582164995982,13.677101703684132,10.953796692187622,20.48571460801764,20.21902935444118
Creatinine,3.5537264058763127,2.1708646145429316,3.154061886331043,1.3662739184287258,4.616718799147062,1.6771523993294917
Sodium,1912.0843685918383,3016.477338035239,1481.2667026530974,2283.1301571749414,1518.9717222176641,2358.138458603777
Phosphate,29.201008166549354,8.972528254156996,22.581688309900674,5.216360677354149,25.252413113919186,5.974801073737558
Glucose,68.49202810179231,17.527950718940264,64.57223506530671,14.830716554278306,56.554125972212766,11.709147563274579
Potassium,14.267491434874549,16.218293234339317,11.966484427919383,11.451747147574578,11.194954427549439,11.290571478355929
