,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,L,objective function
0,36.0,28.0,2.0,1.0,33.0,46.0,25.0,32.0,39.0,37.0,4.0,21.0,47.0,inf
1,0.2803713068152146,1.0862257882053261,0.04144221257718181,0.7204727590111973,14.125034664683636,13.601838332809963,27.576365474000465,4.312948205433969,40.668526298526814,5.536232736700186,6.4664919374267384,1.2194883523309243,0.001719841698720476,6.219005938418609
2,34.0,33.0,36.0,15.0,25.0,16.0,20.0,35.0,9.0,27.0,14.0,41.0,19.0,inf
3,11.256921446078854,0.0564462180480171,1.3451368065352094e-16,36.67501015440143,10.720623436165674,21.3204993033196,0.7777403597912507,42.84442330805361,2.065081243174958,0.2904068842054483,8.314003744771432,1.4733398806130966,0.00036778006226876784,4.977418787019145
4,18.0,39.0,13.0,11.0,24.0,35.0,14.0,15.0,9.0,49.0,20.0,16.0,8.0,9.627967422632979e+78
5,5.0,11.0,41.0,15.0,4.0,1.0,36.0,39.0,12.0,14.0,13.0,35.0,7.0,1.3338634447355684e+33
6,41.0,36.0,1.0,15.0,29.0,26.0,11.0,21.0,27.0,47.0,14.0,39.0,42.0,inf
mean,5.768646376447034,0.5713360031266717,0.02072110628859097,18.69774145670631,12.422829050424655,17.46116881806478,14.177052916895857,23.578685756743788,21.366803770850886,2.9133198104528173,7.390247841099085,1.3464141164720105,0.001043810880494622,5.598212362718877
