,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,L,objective function
0,187.48162828991752,190.34477836064247,185.3400291558382,190.02589406793462,190.77132216483517,183.76764105652222,0.012672457866146668,40.59770097497591,1.311707900232909e-05,0.022570319027878375,0.0002685712001063391,0.4291704689478669,5.723214697811823,14.792288910298575
1,7.967554171692492,14.56544115342792,34.34549975912429,11.253034898416264,200.0,3.614453699695965,4.308101217625449e-17,0.0,2.8102984785907463e-15,1.0342685054543173e-17,200.0,0.0,5.858314390157725,73.35448249410021
2,5.4859161190240994e-14,8.10384811802494e-14,1.9965563498346426,37.80636413085973,7.0492955738558205,0.3421103258341705,16.05673953441107,28.488659833572388,0.6104010256624642,0.2112091360648469,12.13950947048279,32.059111704617244,0.007064805511257331,6.386800150644785
3,180.7684816389791,0.0,199.99990478330997,187.3592668379808,176.23330500584763,171.04242504210671,2.410738855166404e-20,104.59274816588506,1.3965659574757102e-19,9.09976360876698e-05,200.0,0.00011138565558030457,6.537488022572855,35.84873467795154
4,14.019483225727171,9.256977188352128,3.69175008494986e-11,43.975503848104786,199.99999967231162,3.447188732106461e-08,1.605981761494151e-09,17.372002250431667,30.2245111703902,3.4302470025394814e-10,199.99999998389794,111.0747076183164,5.998108303588133,74.82312015746285
5,43.71992410592228,47.10921491010308,69.11601744635223,48.82896010740868,200.0,39.04004539015955,0.0,8.987098113081228e-08,0.0,1.528814022305995e-08,200.0,0.0,5.514934906641031,71.88683565762257
6,18.0,23.0,10.0,15.0,35.0,40.0,46.0,20.0,3.0,25.0,49.0,19.0,7.0,1.9477163827735168e+18
mean,72.32617857203978,43.54606860208761,81.79966791574937,86.54150398178415,162.34232040280835,66.30111259146508,2.678235332313866,31.841851885789335,5.139154218855278,0.038978411393329644,135.35662967093015,23.927183529589513,4.939854187713804,46.182043674680095
