,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,68.88316079875798,4.260222533227503,101.27880213062993,17.101622341027912,42.77419527786632,20.91287130808463,48.828845107961506,21.960139441254444,54.482361557938894,31.413783312329997,62.25237522670566,52.99434040964655,0.02349473518364511,0.26801087240244476,0.021328755670023795,0.13302205498016498,0.0032584482680274238,0.5813210131507125,5.880253103531087,8.096227761843807
1,24.629824837110654,33.204996192363566,31.15517201667669,7.473517723394545,34.82244559700197,45.264326966610874,19.88724409942315,9.21425623390334,12.922035053826312,42.38035703468178,15.258072641083848,15.168197019021445,0.06533488842284865,0.059547069106915804,0.6563277340516709,0.00036574800327738145,0.011748210038933367,0.08273259760839924,1.2744898008294756,13.762003262473115
2,5.105124468841853,20.37123156494443,98.76748245958524,17.812867641150266,199.99994708878842,11.802105590347686,0.8133736761719111,37.848586943139445,53.30511580870996,18.77793934905084,199.99989650378612,27.303289180802462,0.553203962086368,0.2236437229587274,0.013488455616586311,0.28040717727646575,1.0404472362114707,0.6592455591484344,5.765436164586268,20.28147378149061
3,33.115796514470794,47.942379927932365,39.42390362772331,10.878808119200654,41.55978511583224,43.318617836358285,19.890575781729915,12.64710901241623,0.9536472986530332,8.7189231636731,18.959864068668832,22.32702135776346,24.018259328276475,1.0800769103107113,4.946385794528317e-05,0.24562208087231935,19.78727058943639,26.909427408545934,4.927056770633401e-05,541.9395558709028
4,44.0,28.0,41.0,15.0,25.0,8.0,40.0,43.0,11.0,38.0,27.0,21.0,34.0,2.0,22.0,30.0,36.0,19.0,7.0,1.110191834920689e+61
5,18.0,35.0,45.0,14.0,44.0,37.0,39.0,28.0,16.0,8.0,5.0,31.0,12.0,11.0,40.0,26.0,22.0,41.0,19.0,inf
6,0.9421543193536923,38.7648075583226,0.6351478995967965,5.6937446638005005,4.7752790997916925,35.1784363130398,10.915407121770542,0.3973326771264019,1.253308866496419,0.874372475384658,26.69369772382728,0.5882159384891354,0.23305292605600253,0.175887959589269,0.8297273658077751,0.18214947110346247,4.827136073248279,0.891276972595912,0.02781940991562415,11.629274245949798
mean,26.535212187706996,28.908727555358098,54.252101626842396,11.792112097714774,64.78633043585613,31.295271602888256,20.067089157411406,16.41348486156797,24.583293717124924,20.433075067024074,64.63278123281434,23.67621278114461,4.978669168005068,0.36143330687361364,0.30418435500080027,0.168313306447138,5.13397211144062,5.824800710209878,2.589609549886032,119.14170698453204
