,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,2.0563453487158605,0.42052303737358665,1.5084010523263398,0.4214779464334882,1.545326698179229,0.5141003773043249
Creatinine,0.11200941685280934,0.029492022765627547,0.07149190613258455,0.008860676439580543,0.09102548721069564,0.02174752108715067
Sodium,7.708488491260613,0.7543922814538078,7.288948491611524,0.6975614102947999,5.371759043638872,0.2090887331621606
Phosphate,0.4549118701047565,0.0992370857292793,0.3943931678169071,0.03910445550451119,0.41223711848648065,0.059123272555591716
Glucose,11.976887708377006,2.153025760742304,10.219188417529866,1.214762649042621,10.582044262111753,1.421200165323519
Potassium,0.9796968768421527,0.2787729183779233,0.7864816422769599,0.06837937865639115,0.9001853805428293,0.354255898124503
