,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,objective function,L
0,15.502654118224289,7.313249685891641,8.681498668303925e-19,4.795624894290969,24.40310395622423,49.138778125227475,10.857818440555183,1.8623589912250698
1,12.60693697175027,5.5056931556706035,0.0017372211863858652,4.689297476368903,10.688708735439159,23.953276452535977,10.458468715723853,-0.08750318666984072
2,9.98838457668342,2.1627563716673506,1.6054056443188767,0.0003210948755191438,2.1778790398013923,28.205573515844083,6.525781023298964,2.2539823481907453
3,8.762917616127044,3.2296351907767527,0.005281603043578658,1.253510616030177,2.6064605999973076,22.463524807061592,4.577283421870682,3.398950710558385
4,10.479788072542311,6.403945244259125,8.251615506337417,5.432779283385967,5.368497148310618,23.51995585322074,5.66794203906132,4.963862920397661
5,7.843978161712786,1.050976248857661,6.653025679355733,3.2971087413897503e-19,0.0,64.2919707994685,8.676376513644879,3.883372796957938
6,10.428334457862098,3.364076679472424,6.638202323474854,0.0,6.18795799398869,23.529427986727914,15.533852152020446,2.129728518970571
mean,10.801856282128886,4.147190368085079,3.307895425388121,2.310219052135934,7.347515353394484,33.58607250572661,8.899646043739333,2.6292504428043615
