,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,objective function,L
0,7.844032779391425,1.0514260177133614,6.6533557658161895,0.0,0.03165675057079764,64.30602551281258,8.676376457518659,3.8833812987611185
1,15.502569020221424,7.313124086189661,0.010801512572419372,4.795683996654307,24.40343320709622,49.134483786979835,10.857818429918515,1.8623571873535298
2,10.479817864092396,6.403634934362616,8.251626759808534,5.432855888404043,5.368503017182583,23.519669253067153,5.667942037144461,4.963862456213642
3,12.606799873275262,5.505604182504515,0.030056914104702903,4.68914730672246,10.688417745508898,23.952833900591326,10.458468722129972,-0.08750732502984798
4,9.988452804870544,2.161580372340264,1.6053222531654667,0.14756717280443288,2.177856897127966,28.20631762010087,6.525781006214088,2.2539841462752483
5,25.72246207502713,16.336849000213967,19.96911958704264,10.89190214955499,13.07423646332461,23.75787906004078,4.6934478474227515,5.409508576504056
6,10.42839554775392,3.3639307552082043,6.638168040003641,0.0003250917368326097,6.187963264640961,23.529136664918394,15.533852152183096,2.129727332740066
mean,13.224647137804586,6.019449906933226,6.165492976073371,3.7082116579824382,8.847438192207434,33.77233511407299,8.916240950361649,2.9164733818311164
