,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,0.0,8.361330862688979,91.57060386203375,1.4401001150717145,12.031598319405331,1.7841532148166446,6.989727783237387,2.897390066853397,54.107853795141146,20.84661677277139,43.62581979437467,36.766269909680645,0.5775566783883902,0.3560975198658376,0.19477648292851552,0.3196940432634866,0.47011573580481514,0.7612126990222325,6.499062614626698,8.051445172715022
1,30.23208015659677,33.71519629361656,34.16086191061784,35.434164089098076,31.624823408999447,26.544660479714945,47.86507378293134,19.101163255463472,33.10138191418058,20.523041360130843,20.662506012946224,70.81748700002456,0.31218631892092435,0.256936733313932,0.7656814052332119,0.15397005367027738,9.73495987340778,1.0157462249340168,6.4209771823491,7.6318009834176825
2,37.58114329449625,30.486957568994246,77.37274027814722,27.05325726871649,3.9365864172429323,16.735405133027264,86.00423509977223,13.478331147852991,38.73823691748786,12.579473148341142,42.04671425966497,42.34539421348838,0.010304406191134294,0.27413946598273486,0.40296392532902725,0.2421099673985752,8.15850687758656,0.5922269515594109,5.758972089679904,19.98034933960232
3,111.87554045604782,37.897873161867224,48.03619981682878,1.79789381960417,20.063221282687664,56.40287020160141,24.531546965278462,32.868570721837486,15.131467453547005,40.96581470567531,28.62598192365817,31.530580305957074,4.283066708960532e-09,0.10620747961444796,0.8458365886305015,0.2550291212555429,0.4621418268040616,0.4212238958686773,6.100477374479301,11.00692570373482
4,35.04003510007457,34.41967982123092,25.431104222818,12.238711445095491,14.626036743439837,2.752777978967953,21.621032808462328,37.09180399067916,28.284361145089242,6.521155175171571,44.69515723577152,26.959785455359206,0.16259817427080184,4.0657581468206416e-20,0.7655146940789671,0.08196933994189112,0.15784917925650419,0.4590969274815271,3.790827193472829,16.123712878614274
5,3.0,23.0,39.0,5.0,45.0,34.0,31.0,33.0,9.0,27.0,4.0,44.0,11.0,46.0,1.0,30.0,16.0,8.0,25.0,inf
6,53.61408370832508,29.343981262430404,54.761286700441495,18.655963217720764,17.051524845559825,51.315926165170424,48.825577363679166,16.84622561021701,21.720572576100675,33.91113580343146,23.645919929254113,2.8211955990640383,0.000566631235761774,0.18415517086311106,0.6796349110700105,0.10181602071874808,9.37267544298283,0.6356635500111009,5.495484054760852,23.234653841642643
mean,44.72381378592342,29.03750316180472,55.22213279848118,16.10334832588445,16.555631836222506,25.922632195549777,39.30619896722682,20.380580798817252,31.847312300257745,22.55787282758695,33.883683192611606,35.206785413928976,0.1772020355483465,0.19625606160667727,0.6090680012117057,0.19243142437475355,4.726041489307092,0.6475283748128277,5.6776334182281145,14.338147986621125
