,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,L,objective function
0,9.0,32.0,43.0,44.0,14.0,38.0,12.0,39.0,2.0,1.0,27.0,6.0,11.0,inf
1,7.336117972436918,1.7600813020778172,15.275490544899725,97.38618972187399,21.759080406806703,18.560659331410644,1.1117312795972962,1.841165530011292,0.8749908179370981,0.17419447563800108,8.081751155444758,1.0520410509933495,3.196412285185839e-21,5.533265934669044
2,8.44937175487899,0.15771092380609023,0.4931799347739161,0.0734092275774453,0.2302917712621708,12.149450108115364,1.1138979337589805,24.646095300531524,13.965850627418448,49.43609081559179,200.0,1.638890915663434,0.007639098229107387,4.198589569691895
3,0.266240976279295,0.3266946128382867,0.48430080730717384,0.38928158313045763,23.075611347601008,7.7180850293085115,36.12805062581645,17.5421033694517,20.6785122281555,10.902951211979643,12.181002343581298,2.310547785162123,0.010714459700345244,10.000108563741826
4,29.669499063486445,26.76062859712781,56.945772759649465,30.210877572411643,133.04340379876166,35.22789921428673,32.62517054871323,25.858222805216904,39.78243670615299,19.157729721748893,175.22722248501728,35.25407305585595,2.457140923877044,37.03612479765941
5,38.0,31.0,43.0,44.0,1.0,29.0,46.0,26.0,33.0,23.0,40.0,3.0,7.0,1.1311806187552616e+129
6,0.5517580559213489,0.2292637468799913,0.6177638955930896,0.12990311056204107,34.91323539916035,1.3743450986749417,28.094718629695162,44.24940263814236,29.686146265086627,63.242212674158466,1.0580358228991158,17.865450226080092,0.018625628414727036,2.748398443749708
mean,9.2545975646006,5.8468758365459985,14.763301588444673,25.637932243111116,42.60432454471838,15.006087756359236,19.814713803516224,22.827397928670756,20.997587328950136,28.582635779823363,79.30960236138849,11.624200606750989,0.49882402204424475,11.903297461902376
