,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,15.865974392181679,2.4258106933404364,16.299831531040134,0.9782276992796893,24.41885628601979,1.1805178641703713
Creatinine,3.755409579052534,4.315405385840714,1.2610666985550119,0.16126292886326296,1.8426110321357008,0.31066811706851
Sodium,793.0687457027881,1318.6472084878162,39.32855868724025,14.156316214015304,36.84075444529818,14.42893755086772
Phosphate,484.6428781250226,831.2741039858372,5.069765543068148,0.14202087264323016,5.631503655304566,0.15585035737517983
Glucose,143113.05649466522,247728.17189216465,59.26282049338624,1.6458831749142424,80.72601057552579,12.370507628516041
Potassium,7.274126719600318,1.400190031847252,7.212265328155471,1.4877643728226446,7.076231954414943,1.4743633266401055
