,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,10.367415087444066,2.126533285589764,7.44718376013758,1.4422160698944129,9.313903400529625,2.366152037878441
Creatinine,0.35631408914454177,0.22972070475108136,0.31290292736711095,0.201512145927928,0.3923558467284334,0.3180801421022812
Sodium,68.29460398729181,47.488997030160725,67.59760426718464,47.27596789323211,67.56696337028336,48.983317097002605
Phosphate,1.8550635271670675,1.9472440160499829,1.6692410827986475,1.4614187868326558,1.5425940136593337,1.2681043585216734
Glucose,99.76282075625267,12.333681952647346,57.19801760751477,5.2369513089842865,87.17078453237895,12.562926021444518
Potassium,3.8248760539826776,0.4691681643415224,3.445047821238641,0.3936572040125171,3.5282809041441596,0.6889006905418839
