,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,65079.54253984117,112681.95404602218,2.9752300898212655e+19,5.153249679778146e+19,4.764250799546368e+60,8.251924444814954e+60
Creatinine,3922.543783954925,6791.344094249945,5.7061142064289696e+17,9.883279719325541e+17,9.316590576403243e+58,1.613680823164783e+59
Sodium,5895.488417496296,10045.40822617505,1664737089301691.8,2883409219914689.0,2.3026415413665534e+56,3.988292141265583e+56
Phosphate,31163.90617577745,53967.46006770265,9.600576280441768e+18,1.6628685899665775e+19,1.7861302746029656e+60,3.0936683845492874e+60
Glucose,41027343.75616104,71061301.13021517,7.307012933536699e+22,1.265611765244847e+23,6.372808297559276e+64,1.1038027758269186e+65
Potassium,1494.6550499988653,2578.3688344290385,887607143505359.1,1537380669712351.5,1.1550183817454988e+56,2.0005505208591893e+56
