,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,1.6267232951802566,1.2508668692285283,1.1307429809002176,0.28908618559191435,2.315658365645359,0.2948298116272986
Creatinine,7.2042061283061924,9.723583629785654,4.2462827593347505,4.564226902308085,5.199866965232839,3.7896659371664514
Sodium,811.3943652991699,1066.5856016155801,774.6565748501007,1022.0388154287579,853.3222921767868,1135.0434049852524
Phosphate,7.35315851259881,5.594614836923269,6.710181835531565,5.390730251536212,8.113925383329422,6.542323216088902
Glucose,83.05057223027065,92.72299704396121,78.11217315248662,96.19356147393603,74.8982580983452,100.2042670317949
Potassium,0.9052312320043351,0.2544759557661053,0.7739582067246228,0.0499276540512822,0.8861033235171837,0.3828213096780875
