,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,L,objective function
0,0.37968608866544695,0.03849483144507491,170.5960484890117,1.0887804292139274,0.5582544197486705,160.33883693364814,10.357806803731723,33.7756601159753,0.9591705737439985,0.43226148483976706,49.70803258347677,0.571790631540977,0.013586432286343235,9.928081904685715
1,29.429917883000066,34.15153505277246,6.92655360574054e-14,34.41983458049393,200.0,24.760945358270643,0.0,1.985875762633997e-15,24.405725868809164,1.7953558157440965e-11,199.99999999989757,0.0,5.529243766942061,76.16557084982536
2,17.0,14.0,16.0,35.0,26.0,45.0,46.0,8.0,20.0,5.0,49.0,19.0,6.0,4.787012771904364e+17
3,0.0,0.0,2.5605095233808396e-09,0.0,0.0,0.0,6.110076479307988,26.86811422893844,15.614179629831154,23.859530369854394,19.291356828378863,3.6147890569593475,6.179234981603203,43.88418053791929
4,179.00417666695725,183.4071924572333,200.0,183.51289346728277,178.90673064514613,161.85082122630487,6.563152122128902e-17,1.4501746578913645e-17,3.8796932093906135e-17,0.0,200.0,13.076510951229908,6.285664054567534,35.66984233529174
5,193.86667335283096,200.0,200.0,200.0,200.0,192.3154858670004,0.0,0.0,0.0,0.0,2.722131199679609e-07,0.0,6.315675536202982,25.94536526121449
mean,80.53609079829076,83.51944446829017,114.11920969831445,83.80430169539812,115.89299701297895,107.85321787704481,3.293576656607942,12.128754868982748,8.195815214476863,4.858358370942423,93.79987793679327,3.452618127946047,4.864680954320424,38.318608177787326
