,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,2.247889114607396,0.18481505324823874,2.038214476985402,0.3270543221489975,1.8616654441417522,0.5431836174106085
Creatinine,1.8101390790230205,1.167751392785523,1.335505173009681,0.649424090034957,2.081883975852043,0.7842588673353234
Sodium,472.69195267504114,406.7864398787011,445.51324561004344,383.4910152656233,480.3018291726714,413.10275915752425
Phosphate,12.162973546319721,11.356797909539845,11.276164996845955,10.536993678132776,13.974033369408344,12.96970929461908
Glucose,37.14623668037489,12.335124341906813,31.33645155786259,7.913416944120396,30.155600111876392,19.46121810670013
Potassium,1.0571131257256414,0.2926204278201634,0.7564580127961721,0.09041120234622911,0.7475208433271057,0.2971788789462546
