,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,L,objective function
0,16.787408340891584,38.61407331394758,30.143297713804188,22.349985953974336,22.532797866047733,28.171043316736263,42.02028501610671,10.593193923300369,59.11323103938352,13.821294269529107,21.93803815806721,33.49401378369434,1.8458221347998591,15.92977415849296
1,32.23259409024169,25.902418095642332,67.37596114493851,25.43581404108857,59.33493527120802,34.05567931530062,27.75024114624833,22.175219779610895,29.665024731765556,20.079319503635737,14.652136813113119,35.899375924528286,2.0406538728138717,13.772522050641692
2,23.103214305457186,25.891215780630773,63.68028392426356,12.871378613394313,155.2689749376208,31.09308996484064,29.731833695470463,14.565703767998107,28.325454696239447,21.774442358642638,137.29056052378735,33.25451289901485,1.9316983850846912,28.38863976937741
3,9.23324676928621,0.1629357197071414,0.31300479611771537,16.55533297840346,0.5065395750404575,12.613572457837767,1.0296127474895176,23.391267000822534,20.194333355295374,0.3646824846515365,87.27500221380264,1.5790277625813085,0.00718468522123028,4.173981910127632
4,192.8112597134509,45.956941696188835,185.07116063230688,40.16676285487497,199.99999999960914,188.63339668839694,20.48255345489598,42.99449749332902,32.734557621596224,41.93312219456479,199.99999999925254,28.940900995028883,6.513020762689669,14.209612237763698
5,34.774227702942,30.953029507491525,45.08839853594538,13.544751091803004,42.85798790378101,52.05125215672111,30.3346409363604,23.281444857590184,50.37501496509842,45.7887062829696,30.216874595089173,32.05589927214346,2.3315131843241965,11.753095661781948
mean,51.4903251537116,27.91343568560136,65.27868445789605,21.82067092225644,80.08353925888453,57.76967231663889,25.224861166095234,22.83355447044185,36.73460273489642,23.960261182332232,81.89543538385199,27.537288439498525,2.4449821708222528,14.704604298030892
