,Urea,Creatinine,Sodium,Phosphate,Glucose,Potassium
P10.csv,12.15579668268004,4.21902297410716,0.2315886070263833,3.456576429116773,4.4754537720567225,16.697125053056194
P11.csv,6.929776703638917,2.9649645486136937,-7.305809824251668,2.6417569429623704,3.4278221211308573,
P12.csv,7.721173155853527,3.8078338109122796,-2.877859541574453,2.8313551375366868,3.985914445945752,14.235816123029437
P13.csv,7.262802352335415,1.774749004665286,-5.59135610114119,0.6679370165374952,2.77704547241489,17.285927707372345
P15.csv,9.86159080690291,4.550786116467379,-0.8713700925316943,3.195230406155661,8.634474183462933,18.84313210508495
P17.csv,18.7833670849637,13.73804918254739,5.700418116338627,10.080271804453504,12.27934863196324,16.35148735663555
P19.csv,11.99372232038298,6.566042989603138,0.934081857485943,4.824061387669454,19.032370313257644,
P21.csv,7.013721575428364,2.375978222770205,-1.232302739790443,0.8838468924914692,3.6758542257334663,12.536331484172871
P23.csv,10.45358509270568,2.9612972281113294,-1.0321718527542394,4.209979486220058,-0.20884743317707682,15.675411205005005
P8.csv,5.4649634206664475,2.058739485715341,-4.350910084397204,1.6169045078896573,2.654066686846872,15.870939100072292
P9.csv,10.206570669753695,7.025994646639996,3.314544653705875,6.080847164250883,6.787556110661959,15.398410501467586
P14.csv,14.878570339634116,8.448784550788115,3.369119143724331,7.350055686543375,,24.581860126281978
P16.csv,10.448519834034865,3.3793085325713204,-5.480156220809093,2.3346064643570954,4.357456942641713,19.284735116656876
P18.csv,16.495204714596177,11.459388517207811,0.12083525457579959,8.866708880571991,,11.079901306059236
P20.csv,8.675201141407207,2.080166458274415,-3.0873142467844037,0.5082792423579506,2.060018910642708,inf
P22.csv,11.783137761711245,6.129515154188166,2.40366882964067,4.1463961800854605,,19.339528646073347
