,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,6.694844144794949,1.6260716147973997,6.00836464200066,0.39733086889192515,6.474832738884064,0.7182020388588235
Creatinine,1065580959.6874452,1845640341.1526477,6.0547743571205,10.128976070113602,7.7841172112920205,13.104317100245156
Sodium,20088594390.361485,34794463192.88396,1146.022971989561,1958.3800478195258,1131.5023380197688,1930.0582867978474
Phosphate,2689162069.0484405,4657765331.899395,0.8818843146863157,0.08893545516203011,0.795730592786505,0.06946952083460153
Glucose,76593911504.0896,132664546012.31529,128.9639546760741,115.3445228871851,110.2528850516461,99.5983495964012
Potassium,5.447511390094719,3.895769347700576,5.255180798941473,3.904096991912328,5.288939909334406,3.5785409898824296
