,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,37.80165183100995,9.24128386703096,39.83216438540257,9.795447081605044,14.3783005825846,47.4501623302362,17.177940683296416,19.912557326658288,40.89703685170978,39.9855514515044,47.76106034288517,20.23439028384181,0.2878576154547391,0.23661986415456795,0.5869581659200475,0.15881495342407154,0.259548355851574,0.3777021709347067,4.40751536653812,13.775062097066495
1,31.0,1.0,46.0,26.0,13.0,21.0,9.0,32.0,18.0,44.0,47.0,14.0,11.0,36.0,41.0,30.0,25.0,5.0,10.0,inf
2,15.755050216076693,18.170965679209807,66.87212093953202,26.74717533110318,28.084827286913068,42.751309959199304,29.03275689977248,36.73383732394333,83.25667493447865,41.27648820721001,50.79975988190393,8.659363481237293,0.505733734178757,0.22635661189167305,0.008240500520139466,0.025671712239923067,0.21963735384195937,9.311440540863808e-21,5.886116085402539,6.673710834368785
3,34.834450713113654,41.66775493862453,64.65497680560536,33.193756040437904,0.0001123348414024407,33.41951406934995,23.911603532960203,17.594251253192773,75.59907399983986,36.77694843848646,13.915073529572632,47.80994568929875,0.32386019461593607,0.13988144591513044,0.011674485177803324,1.5452366753056475e-19,9.419948064930143,0.36958376677529076,5.512426145139793,22.92204806343014
4,9.0,13.0,32.0,42.0,6.0,47.0,2.0,16.0,29.0,35.0,31.0,38.0,39.0,34.0,19.0,17.0,24.0,4.0,18.0,inf
5,44.0,43.0,25.0,1.0,15.0,48.0,19.0,28.0,26.0,49.0,20.0,24.0,13.0,22.0,47.0,23.0,36.0,16.0,32.0,inf
mean,29.463717586733434,23.026668161621767,57.11975404351332,23.245459484382042,14.154413401446357,41.20699545292849,23.374100372009696,24.74688196793146,66.5842619286761,39.34632936573362,37.49196458478725,25.56789981812595,0.37248384808314405,0.20095264065379048,0.20229105053933008,0.06149555522133154,3.2997112582078922,0.24909531256999914,5.268685865693484,14.456940331621807
