,Test set-same session,SD1,Test set-other session,SD2,Training set,SD3
Urea,10.282968273705611,2.1808382094002052,9.755685216775602,1.9447367240694167,14.818727557154505,10.486326496284931
Creatinine,3.4588645810776715,3.951876115771643,3.1887252728247706,2.972724736732155,4.914332496849599,4.0707232111464196
Sodium,209.52105753831597,84.17420095801607,240.17391126574628,66.93776747314546,237.82267179520625,69.24598833406272
Phosphate,17.65545200494831,22.66672932673239,14.966829237710117,18.270117276820375,18.091586353048,20.941386434546825
Glucose,64.33443960403804,12.631537536244927,58.67975844986754,37.643778700552886,61.352757799678805,31.88456522608749
Potassium,7.164510712087231,1.2528611276787274,8.389037770792688,0.64725831732114,8.03764330299935,1.8933082872401943
