,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,32.0,12.0,13.0,1.0,17.0,5.0,33.0,38.0,29.0,30.0,19.0,10.0,36.0,42.0,47.0,44.0,25.0,31.0,35.0,inf
1,74.96647649384578,30.94822258515717,75.87520959965694,44.49090926701559,54.34546611086605,53.75798103589683,6.683781722566058,49.86465639132694,15.513899282082184,28.633809136568782,50.33645849504744,36.917904917000115,0.3710871007501087,0.05776034949704785,0.7748673020729068,0.062057709782230734,0.10760818308107581,0.3824802986601331,6.061564476882511,11.418837216992026
2,89.34635472881179,32.601004660305506,99.2624753184061,24.911587299474814,0.0,48.288243918334516,14.845639522538402,1.9672985072458284,39.39628496730882,32.893334104403685,8.730284981517261,3.7120640442430206,0.03864391361014454,37.48444820847549,0.01935051258994246,0.0,0.0,3.940390839981262,5.832995539266709,155.36403488070394
3,8.0,14.0,6.0,15.0,20.0,24.0,2.0,36.0,18.0,25.0,9.0,23.0,43.0,16.0,40.0,26.0,44.0,49.0,42.0,inf
4,19.373354375280105,133.85644222815264,10.761047848008765,67.69380051316497,2.8993940548005526e-05,199.9998376567292,0.0,45.55439946159865,45.97099237800184,74.52518245343404,15.34248047484453,2.34398835061711e-05,0.0,14.732751300679684,38.854515782260655,7.328635514625148e-05,79.43158410726821,0.00011631195748407208,4.293845924152606e-06,2937.870109174676
5,46.04031538244509,0.0,2.3994319856517645,0.0,0.0,27.661526083503915,32.53263862282449,0.8395920981296561,0.0,0.0,7.624360231853607,35.828220928800754,0.0,0.0,0.0,0.0,6.883429483560282,0.0,4.866732049101142,407.6405990619649
mean,57.43162524509569,49.35141736840383,47.07454118793089,34.27407426991384,13.586373776201649,82.42689717361613,13.515514966982238,24.55648661457527,25.22029415684821,34.013081423601626,20.508396045815708,19.114553332481847,0.1024327535900633,13.068739964663056,9.912183399230877,0.015532749034344246,21.60565544347739,1.0807468626497199,4.190324089774071,878.0733950835843
