,MTAC_urea,MTAC_crea,MTAC_sodium,MTAC_phosphate,MTAC_glu,MTAC_potassium,fct_urea,fct_crea,fct_sodium,fct_phosphate,fct_glu,fct_potassium,sico_urea,sico_crea,sico_sodium,sico_phosphate,sico_glu,sico_potassium,L,objective function
0,34.0,16.0,18.0,23.0,35.0,45.0,40.0,13.0,43.0,29.0,32.0,28.0,47.0,11.0,5.0,14.0,49.0,27.0,9.0,6.596196383995856e+149
1,29.176265316524802,22.994419377695753,44.09495004287568,31.340450892351864,4.44003680931376,39.92558337583676,21.176198089416282,5.373430081629815,3.4206203678499074,12.584139291321453,29.94013766911417,27.627227008695534,5.738020882503504e-06,0.18453091013167508,0.8907846133342284,0.00222309124267487,11.5708669688626,0.24510289059458218,1.8164317395909162,34.15037679448449
2,28.0,43.0,49.0,39.0,6.0,16.0,46.0,30.0,40.0,13.0,14.0,24.0,42.0,36.0,5.0,11.0,34.0,19.0,33.0,inf
3,37.38749637028447,11.25107231823914,36.10855935057336,35.10710823481661,2.018971284968518e-06,30.04160009846184,35.17332918720698,36.90569761996668,35.071467313293965,32.246763418407085,28.973018283567736,4.0360655373134575,0.23931291820807352,0.1979081842074283,0.6633105065753736,2.550981041537553e-16,9.417286990232299,0.6325440847055367,5.512911562384992,23.207169542761864
4,31.0,37.0,15.0,42.0,11.0,48.0,25.0,28.0,47.0,8.0,26.0,38.0,23.0,18.0,34.0,46.0,21.0,4.0,36.0,inf
5,17.347414591503984,25.127183700649475,19.96239125300021,17.21672775736732,21.934578161839692,0.67345391987012,4.412710476197063,1.9967815178689434,4.692244227818453,1.8549518213659366,40.54495163397799,21.49746685031889,0.03566795991984199,0.03423678396763814,0.47803763813192274,0.1825768478823147,3.892392687926905,0.5167075567159913,0.16894899599174196,26.897092167495053
mean,27.97039209277109,19.790891798861455,33.388633548816415,27.8880956281786,8.791538996708246,23.546879131389574,20.25407925094011,14.75863640648848,14.39477730298744,15.561951510364823,33.15270252888663,17.720253132109296,0.09166220538293267,0.1388919594355805,0.6773775860138417,0.06159997970832994,8.293515549007267,0.46478484400537007,2.4994307659892168,28.084879501580463
